strategy_name,total_patients_processed,mean_wait_time_minutes,max_wait_time_minutes,nurse_utilization_percent,machine_utilization_percent,avg_session_time_minutes,sessions_truncated_count,failed_patients_count
FIFO,16,1.0,6.0,0.2222222222222222,0.5794444444444444,240.0,0,0
FIXED,16,45.625,109.0,0.2222222222222222,0.6318055555555555,233.3125,6,0
FIFO,16,33.06666666666667,72.0,0.4166666666666667,0.5876388888888889,229.6,6,1
FIXED,16,49.90909090909091,100.0,0.3055555555555556,0.4419444444444444,224.45454545454547,6,5
FIFO,16,4.5,15.0,0.2222222222222222,0.5809722222222222,240.0,0,0
FIXED,16,67.9375,126.0,0.2222222222222222,0.6375,221.8125,10,0
FIFO,18,9.222222222222221,33.0,0.3333333333333333,0.6630555555555555,236.0,4,0
FIXED,18,46.23529411764706,148.0,0.3148148148148148,0.6531944444444444,221.47058823529412,9,1
FIFO,18,33.06666666666667,77.0,0.4166666666666667,0.5852777777777778,229.2,6,3
FIXED,18,46.9,98.0,0.2777777777777778,0.39055555555555554,221.7,6,8
FIFO,18,36.1875,70.0,0.4444444444444444,0.6319444444444444,229.125,6,2
FIXED,18,49.75,149.0,0.3333333333333333,0.46069444444444446,223.0,6,6
FIFO,16,14.8125,26.0,0.2962962962962963,0.5993055555555555,239.625,1,0
FIXED,16,55.6875,134.0,0.2962962962962963,0.6220833333333333,227.375,8,0
FIFO,17,35.0,65.0,0.4444444444444444,0.6266666666666667,227.0625,6,1
FIXED,17,53.2,111.0,0.2777777777777778,0.4022222222222222,222.0,6,7
FIFO,18,30.875,72.0,0.4444444444444444,0.6172222222222222,226.875,6,2
FIXED,18,43.54545454545455,116.0,0.3055555555555556,0.4348611111111111,226.0909090909091,6,7
FIFO,16,7.6875,22.0,0.2962962962962963,0.5898611111111111,237.75,3,0
FIXED,16,49.06666666666667,142.0,0.2777777777777778,0.5955555555555555,220.4,9,1
FIFO,16,33.0,63.0,0.4444444444444444,0.6301388888888889,230.8125,6,0
FIXED,16,67.5,128.0,0.2777777777777778,0.41125,218.4,6,6
FIFO,17,33.375,70.0,0.4444444444444444,0.6895061728395062,227.0625,6,1
FIXED,17,63.5,135.0,0.2222222222222222,0.3533950617283951,212.625,6,9
FIFO,17,33.1875,61.0,0.4444444444444444,0.6263888888888889,230.0625,6,1
FIXED,17,50.54545454545455,130.0,0.3055555555555556,0.4261111111111111,221.45454545454547,6,6
FIFO,16,1.8125,12.0,0.2222222222222222,0.5806944444444444,240.0,0,0
FIXED,16,37.625,102.0,0.2222222222222222,0.6241666666666666,233.5625,6,0
FIFO,16,7.9375,25.0,0.2962962962962963,0.5894444444444444,237.625,4,0
FIXED,16,50.61538461538461,124.0,0.24074074074074073,0.5,220.84615384615384,9,3
FIFO,17,32.875,61.0,0.4444444444444444,0.6186111111111111,228.0,6,1
FIXED,17,43.55555555555556,142.0,0.25,0.34597222222222224,218.0,6,8
FIFO,17,31.75,74.0,0.4444444444444444,0.6574561403508772,229.3125,6,1
FIXED,17,54.1,90.0,0.2777777777777778,0.420906432748538,222.3,6,7
FIFO,17,0.8235294117647058,10.0,0.2361111111111111,0.6152777777777778,240.0,0,0
FIXED,17,60.94117647058823,116.0,0.2361111111111111,0.6820833333333334,221.52941176470588,10,0
FIFO,16,6.3125,24.0,0.2962962962962963,0.5897222222222223,239.0625,3,0
FIXED,16,55.57142857142857,150.0,0.25925925925925924,0.5581944444444444,222.0,9,2
FIFO,16,10.0625,23.0,0.2962962962962963,0.5931944444444445,239.125,1,0
FIXED,16,58.1875,132.0,0.2962962962962963,0.6238888888888889,221.8125,9,0
FIFO,18,6.444444444444445,16.0,0.25,0.6593055555555556,239.88888888888889,1,0
FIXED,18,44.166666666666664,141.0,0.25,0.7006944444444444,230.22222222222223,9,0
FIFO,16,6.25,17.0,0.2222222222222222,0.5829166666666666,240.0,0,0
FIXED,16,49.3125,89.0,0.2222222222222222,0.6234722222222222,233.625,7,0
FIFO,16,31.5625,67.0,0.4444444444444444,0.6213888888888889,228.5625,6,0
FIXED,16,46.45454545454545,127.0,0.3055555555555556,0.4379166666666667,225.8181818181818,6,5
FIFO,18,36.1875,77.0,0.4444444444444444,0.6270833333333333,227.0625,6,2
FIXED,18,56.6,135.0,0.2777777777777778,0.39861111111111114,223.8,6,8
FIFO,18,4.555555555555555,13.0,0.25,0.6573611111111111,240.0,0,0
FIXED,18,42.666666666666664,97.0,0.25,0.7027777777777777,233.11111111111111,7,0
FIFO,17,1.7647058823529411,13.0,0.2361111111111111,0.6176388888888888,239.8235294117647,1,0
FIXED,17,40.88235294117647,109.0,0.2361111111111111,0.6651388888888888,231.41176470588235,8,0
FIFO,18,43.25,88.0,0.4444444444444444,0.6422222222222222,225.75,6,2
FIXED,18,63.8,123.0,0.2777777777777778,0.4008333333333333,222.0,6,8
FIFO,17,31.3125,57.0,0.4444444444444444,0.6256944444444444,230.625,6,1
FIXED,17,58.72727272727273,147.0,0.3055555555555556,0.4409722222222222,223.63636363636363,6,6
FIFO,17,12.411764705882353,29.0,0.3148148148148148,0.6351388888888889,236.58823529411765,4,0
FIXED,17,48.857142857142854,123.0,0.25925925925925924,0.5469444444444445,218.57142857142858,9,3
FIFO,18,9.555555555555555,25.0,0.3333333333333333,0.6619444444444444,237.22222222222223,4,0
FIXED,18,55.785714285714285,132.0,0.25925925925925924,0.5495833333333333,222.0,9,4
FIFO,17,2.0588235294117645,8.0,0.2361111111111111,0.6180555555555556,240.0,0,0
FIXED,17,49.411764705882355,107.0,0.2361111111111111,0.6630555555555555,228.76470588235293,9,0
FIFO,18,16.166666666666668,23.0,0.25,0.6704166666666667,240.0,0,0
FIXED,18,61.333333333333336,121.0,0.25,0.7281944444444445,227.77777777777777,9,0
FIFO,18,42.25,81.0,0.4444444444444444,0.6331944444444444,226.125,6,2
FIXED,18,70.44444444444444,141.0,0.25,0.3586111111111111,218.0,6,9
FIFO,18,0.8333333333333334,7.0,0.25,0.6508333333333334,239.94444444444446,1,0
FIXED,18,63.111111111111114,127.0,0.25,0.7213888888888889,218.66666666666666,11,0
FIFO,18,3.4444444444444446,14.0,0.25,0.6868421052631579,238.61111111111111,3,0
FIXED,18,49.11764705882353,134.0,0.2361111111111111,0.6869883040935673,224.64705882352942,9,1
FIFO,17,34.875,59.0,0.4444444444444444,0.6127777777777778,227.0625,6,1
FIXED,17,46.54545454545455,111.0,0.3055555555555556,0.4220833333333333,223.36363636363637,6,6
FIFO,17,13.235294117647058,30.0,0.3148148148148148,0.6726608187134503,237.41176470588235,3,0
FIXED,17,46.1875,121.0,0.2962962962962963,0.6716374269005848,227.0625,9,1
FIFO,18,11.833333333333334,28.0,0.3333333333333333,0.6648611111111111,237.61111111111111,3,0
FIXED,18,50.733333333333334,132.0,0.2777777777777778,0.5740277777777778,223.8,9,3
FIFO,18,10.61111111111111,30.0,0.3333333333333333,0.6665277777777778,236.27777777777777,5,0
FIXED,18,60.357142857142854,155.0,0.25925925925925924,0.5531944444444444,219.85714285714286,9,4
FIFO,17,20.58823529411765,41.0,0.3148148148148148,0.6401388888888889,238.58823529411765,2,0
FIXED,17,59.05882352941177,135.0,0.3148148148148148,0.6701388888888888,225.7058823529412,9,0
FIFO,16,3.0,16.0,0.2222222222222222,0.5777777777777777,240.0,0,0
FIXED,16,53.3125,127.0,0.2222222222222222,0.6106944444444444,227.25,9,0
FIFO,18,12.666666666666666,35.0,0.3333333333333333,0.6715277777777777,235.94444444444446,4,0
FIXED,18,49.733333333333334,112.0,0.2777777777777778,0.5918055555555556,223.4,9,3
FIFO,16,29.75,59.0,0.4444444444444444,0.6201388888888889,229.3125,6,0
FIXED,16,53.666666666666664,147.0,0.3333333333333333,0.4791666666666667,221.5,6,4
FIFO,18,49.8,81.0,0.4166666666666667,0.5980555555555556,226.2,6,3
FIXED,18,53.8,124.0,0.2777777777777778,0.38027777777777777,222.0,6,8
